 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Central Nuclei	Total Myonuclei	Perinuclei
1	0001-0026	1223.664	47.447	93	4	108.435	34.658	0	4	4
2	0002-0033	978.531	56.628	127	6	107.475	24.007	6	11	5
3	0003-0028	226.123	22.210	228	19	125.838	14.004	0	0	0
4	0004-0030	121.066	15.004	394	24	126.870	11.003	1	1	0
5	0005-0035	234.127	25.814	249	25	125.538	13.134	1	1	0
6	0006-0042	258.140	27.666	308	32	130.601	13.372	1	1	0
7	0007-0055	622.338	37.600	82	39	118.610	23.006	0	0	0
8	0008-0086	2254.224	91.239	398	42	105.255	32.630	0	6	6
9	0009-0090	2645.436	91.469	234	135	76.724	37.644	0	0	0
10	0010-0072	1284.697	52.825	117	47	108.778	32.009	13	18	5
11	0011-0097	2393.299	85.182	312	55	99.462	34.102	2	2	0
12	0012-0070	99.054	15.004	431	64	126.870	9.002	2	1	-1
13	0014-0115	3528.916	93.802	447	71	111.915	53.372	2	3	1
14	0015-0091	566.307	35.351	84	107	64.885	21.006	1	2	1
15	0016-0131	3596.953	114.158	384	75	98.059	42.765	0	2	2
16	0017-0107	1233.670	64.150	343	76	100.784	26.007	0	1	1
17	0018-0118	1436.780	47.815	101	141	52.651	41.011	0	7	7
18	0019-0170	2070.124	91.118	43	214	72.759	32.689	1	5	4
19	0020-0191	3997.170	128.448	418	255	81.491	41.011	0	2	2
20	0022-0177	1383.751	71.083	346	212	76.159	28.243	4	11	7
21	0023-0173	917.498	55.477	272	198	64.359	23.709	1	2	1
22	0024-0159	168.091	21.547	237	149	111.801	10.003	3	1	-2
23	0025-0191	1241.674	63.712	455	221	67.865	26.178	8	17	9
24	0026-0191	145.079	19.728	255	183	120.466	11.003	0	0	0
25	0027-0246	3134.702	108.371	219	300	80.972	38.598	0	1	1
26	0028-0221	1132.615	57.791	364	248	66.541	27.980	4	8	4
27	0029-0253	1904.034	107.737	383	306	77.125	26.516	3	5	2
28	0030-0236	1535.834	64.306	264	267	74.667	31.008	8	13	5
29	0031-0243	1129.613	62.818	294	274	80.838	22.556	3	7	4
30	0032-0258	1675.910	76.709	465	296	77.957	29.470	0	1	1
31	0033-0254	815.443	58.325	432	281	67.834	21.448	0	5	5
32	0034-0245	538.292	40.508	344	228	122.905	27.007	1	5	4
33	0035-0259	989.537	55.332	318	232	102.529	22.228	1	3	2
34	0037-0291	725.394	48.850	250	267	100.620	19.552	4	20	16
35	0038-0304	1925.045	76.139	354	342	80.166	33.009	2	5	3
36	0040-0282	115.062	15.004	302	276	126.870	10.003	3	1	-2
37	0041-0305	1092.593	57.990	405	333	75.005	26.007	4	5	1
38	0042-0314	1227.667	54.659	307	293	124.563	31.927	7	10	3
39	0044-0336	1082.588	53.615	379	363	81.416	26.007	2	3	1
40	0045-0327	281.153	24.173	239	316	114.444	15.004	2	2	0
41	0046-0365	2317.258	90.578	427	320	96.340	34.009	2	2	0
42	0048-0391	4299.334	113.062	310	336	103.299	50.462	0	3	3
43	0050-0383	1359.738	69.142	398	350	104.237	27.856	2	3	1
44	0051-0387	1700.923	73.409	245	353	109.916	31.076	9	16	7
45	0052-0408	991.538	66.929	207	441	80.538	19.005	2	5	3
46	0053-0405	292.159	29.538	451	418	61.699	13.285	0	10	10
47	0054-0436	783.425	50.709	352	461	75.141	21.006	0	0	0
48	0055-0435	970.527	50.817	422	414	126.193	30.008	1	6	5
49	0057-0464	563.306	37.024	324	449	128.418	23.709	0	0	0
50	0058-0483	807.438	41.880	356	498	40.156	28.647	6	8	2
51	0357-0280	1890.026	74.726	263	323	117.937	39.935	27	52	25
52	0439-0296	1928.047	78.411	284	403	113.295	32.000	2	3	1
53	0425-0389	1338.727	65.752	379	393	103.191	30.155	3	3	0
54	0373-0361	851.462	59.497	349	345	106.607	23.909	1	10	9
55	0180-0304	705.383	50.173	295	203	66.501	21.084	7	17	10
56	0369-0157	1668.906	80.084	155	409	80.655	27.251	1	4	3
57	0311-0176	718.390	51.210	166	286	102.407	22.319	0	2	2
58	0357-0132	677.368	42.767	133	378	79.216	23.006	0	4	4
59	0158-0157	1058.575	61.221	146	128	94.686	27.968	2	14	12
60	0193-0115	3661.988	111.834	113	248	79.695	45.528	3	5	2
61	0285-0113	836.454	44.128	113	264	107.819	27.755	1	1	0
62	0320-0124	318.173	25.275	112.500	313	152.928	18.805	0	1	1
63	0308-0146	476.259	32.524	143.500	325	88.238	18.505	1	3	2
64	0397-0114	1544.839	77.624	103	435.500	87.045	30.790	0	1	1
65	0330-0101	1393.757	58.370	86	302	109.522	31.554	1	2	1
66	0456-0189	1607.873	72.269	184	492	85.236	29.112	0	7	7
67	0080-0054	2598.411	86.374	38	39	107.176	39.640	2	2	0
