 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Central Nuclei	Total Myonuclei	Perinuclei
1	0001-0020	129.070	15.625	252	26	50.194	11.003	0	0	0
2	0002-0055	1731.940	65.783	217	23	98.746	37.056	0	0	0
3	0003-0037	434.236	33.251	236	24	133.781	23.766	0	0	0
4	0004-0087	1748.950	63.806	150	118	76.399	39.522	2	2	0
5	0005-0107	3987.165	108.256	268	155	58.219	57.569	0	0	0
6	0006-0082	1037.563	47.689	47	59	99.660	32.692	1	1	0
7	0007-0092	1709.928	68.982	229	123	60.461	34.278	0	0	0
8	0008-0095	1340.728	66.659	309	125	64.204	31.313	2	2	0
9	0009-0101	2635.431	70.197	86	129	49.044	52.014	0	0	0
10	0010-0102	684.372	48.778	169	123	61.858	19.302	1	3	2
11	0011-0117	1848.003	66.426	185	149	71.565	37.818	0	0	0
12	0012-0100	247.134	23.352	63	108	46.736	17.005	0	1	1
13	0013-0133	1304.708	57.330	37	155	42.879	34.659	0	0	0
14	0014-0124	110.060	14.870	134	130	42.274	11.003	0	0	0
15	0015-0137	1097.596	48.860	312	143	22.891	32.967	1	3	2
16	0016-0161	3604.957	88.861	373	201	58.815	62.017	0	2	2
17	0018-0152	1390.755	63.049	225	129	131.785	31.279	3	7	4
18	0019-0176	2426.317	62.985	288	206	69.550	53.850	1	2	1
19	0020-0175	1497.813	61.344	338	203	65.943	34.987	1	2	1
20	0021-0181	1534.833	65.821	212	150	106.783	38.192	3	4	1
21	0022-0156	70.038	11.405	18	152	127.875	8.002	2	1	-1
22	0023-0177	1863.011	55.477	175	152	115.641	48.235	0	2	2
23	0024-0194	3314.800	74.351	23	166	146.524	64.707	0	1	1
24	0025-0232	4300.335	108.933	91	178	97.386	60.686	0	1	1
25	0026-0204	1734.942	54.144	255	180	115.145	45.628	1	1	0
26	0027-0202	1006.546	43.428	124	221	51.546	33.009	0	0	0
27	0028-0234	2640.434	80.234	137	270	54.130	48.953	0	0	0
28	0029-0224	1552.843	64.049	283	242	38.660	41.336	1	1	0
29	0030-0229	1834.996	70.019	325	256	53.130	37.641	0	0	0
30	0031-0246	2507.361	84.243	168	282	47.406	42.096	0	0	0
31	0033-0255	1919.042	64.368	222	283	45.630	42.668	0	0	0
32	0034-0252	531.288	38.023	47	235	116.565	20.869	0	1	1
33	0035-0284	2256.225	63.712	274	315	67.865	47.162	0	0	0
34	0036-0297	2406.306	65.942	327	329	67.714	48.341	0	1	1
35	0037-0287	536.291	38.494	198	305	65.433	21.006	0	0	0
36	0038-0306	2685.458	67.138	41	277	118.474	53.974	0	0	0
37	0039-0297	1145.622	43.023	146	318	72.408	37.118	1	1	0
38	0040-0290	198.108	21.266	179	296	41.186	14.853	0	0	0
39	0041-0309	1058.575	49.054	366	332	69.717	30.050	0	1	1
40	0042-0297	296.161	28.186	99	304	27.474	16.004	0	1	1
41	0043-0317	1006.546	49.833	222	326	10.408	28.627	1	1	0
42	0044-0317	501.272	30.684	170	321	19.026	26.589	1	2	1
43	0045-0342	2803.522	83.671	269	379	62.210	52.588	0	1	1
44	0046-0347	1981.076	83.545	383	388	73.301	37.578	1	1	0
45	0047-0342	1380.750	69.221	71	370	52.633	34.577	0	0	0
46	0048-0336	940.511	48.273	187	356	55.981	29.631	2	3	1
47	0049-0339	855.464	43.944	131	318	101.821	27.856	3	3	0
48	0050-0333	447.243	31.249	332	341	39.806	20.512	1	2	1
49	0051-0335	234.127	21.219	162	327	135.000	16.004	0	1	1
50	0052-0350	1284.697	56.318	222	362	33.408	34.594	1	1	0
51	0053-0371	2325.262	75.981	413	407	69.179	41.545	0	0	0
52	0054-0349	413.224	28.310	103	361	57.995	21.006	1	1	0
53	0055-0353	665.361	37.226	358	370	59.300	24.007	1	1	0
54	0056-0357	813.442	37.373	43	339	105.524	28.008	0	0	0
55	0057-0360	933.507	40.273	145	368	14.381	31.008	3	3	0
56	0058-0368	884.480	41.797	327	349	111.038	29.690	1	2	1
57	0059-0387	2611.418	83.239	157	404	20.395	45.724	0	1	1
58	0061-0397	1285.698	47.773	304	420	70.427	36.010	0	1	1
59	0062-0411	2597.410	68.327	348	444	72.096	51.120	0	1	1
60	0063-0387	101.055	14.426	267	381	123.690	9.002	0	0	0
61	0064-0413	687.373	39.571	385	432	69.274	27.791	1	1	0
62	0065-0406	399.217	29.555	210	411	23.962	18.005	0	1	1
63	0066-0428	1533.833	64.779	255	397	103.392	39.011	0	1	1
64	0067-0416	540.293	37.746	271	400	122.005	23.091	1	1	0
65	0068-0424	703.382	38.023	138	441	63.435	28.257	1	1	0
66	0069-0443	2763.500	72.490	173	468	39.401	53.947	0	0	0
67	0070-0453	1291.701	65.752	64	480	56.793	35.750	3	3	0
68	0071-0448	578.314	31.915	282	456	32.196	27.007	1	2	1
69	0072-0460	1342.729	55.962	304	484	61.144	32.521	0	1	1
70	0073-0464	1972.071	61.863	91	486	50.906	47.191	0	2	2
71	0074-0455	468.254	36.259	441	472	65.556	18.811	1	1	0
72	0075-0456	524.285	33.610	140	448	143.471	25.231	1	1	0
73	0076-0469	1086.590	46.531	342	448	115.463	30.008	0	1	1
74	0077-0462	450.244	30.025	417	449	119.982	20.005	0	1	1
75	0078-0485	1366.742	51.985	264	464	120.018	37.010	5	5	0
76	0251-0393	2622.424	67.415	365.500	272.500	33.808	55.751	0	0	0
77	0217-0384	396.215	28.437	378	230.500	66.140	19.005	0	1	1
78	0187-0425	2275.235	81.135	410	225.500	71.677	41.298	1	1	0
79	0234-0443	1019.554	59.244	442	263.500	78.311	25.161	1	1	0
80	0238-0471	869.472	43.672	454.500	255.500	50.110	30.887	1	1	0
81	0096-0436	1295.703	66.324	409	112	37.648	25.786	1	1	0
82	0079-0401	1680.913	81.835	382	118	69.239	29.894	0	2	2
83	0065-0366	3662.989	111.961	353.500	119.500	75.778	49.697	1	3	2
84	0389-0468	2272.234	72.588	459	422.333	66.732	44.329	0	0	0
85	0398-0492	413.224	28.296	483	411.667	68.575	22.162	1	1	0
86	0422-0437	1073.583	47.278	431.333	445.333	83.928	33.009	0	1	1
87	0438-0405	382.208	27.754	398.667	447	51.340	20.942	0	1	1
88	0453-0482	2982.619	94.467	461	492.667	59.452	48.461	0	0	0
89	0455-0245	452.246	36.763	230.333	446	141.259	16.504	1	3	2
90	0484-0197	328.178	24.601	192.667	494.333	57.171	19.419	1	1	0
91	0295-0234	529.287	41.626	217.667	308.667	40.452	19.592	0	0	0
92	0151-0102	1238.672	50.245	89	166	43.118	39.449	1	1	0
93	0151-0144	2159.172	71.946	113	173.333	33.469	40.730	1	4	3
94	0038-0127	3224.751	73.023	98.333	65	37.393	61.041	0	1	1
95	0082-0026	1108.602	54.849	10.667	102.333	55.151	27.996	1	1	0
96	0104-0041	55.030	10.464	40.333	99	120.651	8.488	1	0	-1
97	0027-0042	742.403	48.194	42.667	51	79.234	24.098	0	0	0
