 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Central Nuclei	Total Myonuclei	Perinuclei
1	0001-0135	1544.839	67.554	310.000	165.000	62.676	32.441	1	2	1
2	0002-0185	1735.942	57.024	286.000	195.000	21.615	43.012	2	2	0
3	0003-0212	1439.782	57.886	344.000	241.000	80.049	36.932	0	0	0
4	0004-0234	1236.671	50.551	305.000	256.000	62.928	37.010	1	3	2
5	0005-0236	739.401	40.372	33.000	222.000	131.987	25.498	0	1	1
6	0006-0243	2273.234	77.300	153.000	257.000	10.437	41.392	0	2	2
7	0007-0269	1074.583	57.722	335.000	294.000	62.103	25.171	1	1	0
8	0008-0262	145.079	20.524	322.000	270.000	46.975	10.609	1	1	0
9	0010-0332	3382.837	85.750	132.000	373.000	73.045	59.413	0	1	1
10	0013-0326	1340.728	50.014	435.000	302.000	106.260	34.188	1	1	0
11	0016-0375	1651.897	55.242	200.000	398.000	58.325	42.011	1	2	1
12	0017-0373	1488.808	49.258	353.000	370.000	12.907	43.213	2	2	0
13	0018-0377	1381.750	57.217	149.000	400.000	53.531	33.299	2	2	0
14	0019-0409	2017.095	63.263	116.000	439.000	71.565	48.066	1	1	0
15	0020-0419	1982.076	70.019	144.000	446.000	53.130	43.488	0	0	0
16	0022-0440	2152.168	77.854	188.000	477.000	69.702	38.059	0	0	0
17	0023-0472	2547.383	75.631	210.000	507.000	69.887	43.879	2	2	0
18	0024-0466	1259.684	57.817	100.000	490.000	52.734	32.024	1	1	0
19	0083-0143	1155.627	45.786	126.000	97.500	40.126	36.202	1	1	0
20	0097-0185	2318.259	67.249	168.500	126.500	59.621	51.553	1	1	0
21	0162-0181	2875.561	75.057	157.500	186.500	47.701	54.181	0	0	0
22	0221-0148	1621.881	56.641	138.500	245.000	60.945	41.975	1	3	2
23	0350-0097	2188.188	67.251	70.500	333.000	141.340	45.387	0	0	0
24	0410-0055	824.448	46.070	34.000	395.000	159.007	24.869	0	0	0
25	0436-0087	1696.921	57.105	74.500	463.500	72.676	44.054	0	0	0
26	0448-0035	1739.945	54.202	27.000	475.500	85.236	44.434	0	0	0
27	0305-0187	2411.309	77.444	183.500	341.500	65.587	51.530	0	0	0
28	0305-0226	3106.687	94.716	195.000	347.000	49.497	40.741	0	0	0
29	0346-0245	190.103	19.817	238.000	355.000	42.955	14.589	0	0	0
30	0325-0257	324.176	25.394	247.500	333.500	32.125	18.584	0	0	0
31	0307-0268	297.161	21.407	260.000	299.000	127.405	18.505	0	0	0
32	0342-0272	2316.258	81.706	243.000	374.000	55.726	35.050	2	2	0
33	0366-0304	1745.948	57.955	284.000	392.500	68.749	42.928	1	1	0
34	0404-0253	1861.010	56.238	234.500	422.000	38.501	45.874	1	2	1
35	0440-0267	1129.613	48.521	264.000	464.000	75.677	31.509	1	5	4
36	0423-0306	2921.586	94.047	294.000	465.500	66.161	48.815	0	1	1
37	0427-0387	1004.545	42.086	382.500	448.500	86.594	31.738	1	1	0
38	0455-0412	1308.711	55.535	411.500	427.500	91.548	36.523	1	1	0
39	0403-0437	1336.726	69.373	425.500	434.500	65.283	26.658	2	2	0
40	0338-0367	884.480	42.813	354.000	356.000	52.595	29.719	1	1	0
41	0296-0312	886.481	48.778	305.000	317.000	61.858	27.273	1	1	0
42	0277-0426	1044.567	49.886	413.000	255.500	115.537	30.971	0	0	0
43	0181-0380	1868.014	70.730	367.000	211.500	61.260	39.191	0	1	1
44	0139-0361	2934.593	85.267	345.500	178.500	65.389	48.352	0	0	0
45	0074-0369	1723.936	54.517	344.500	69.500	157.906	46.213	1	1	0
46	0118-0458	569.309	43.672	450.500	137.500	66.371	18.643	0	0	0
47	0061-0419	2006.089	71.581	397.500	92.000	56.976	44.027	1	2	1
48	0087-0306	2639.433	77.922	268.500	102.000	21.460	51.772	0	3	3
49	0204-0190	1339.727	53.922	175.000	225.000	49.514	35.351	1	3	2
50	0163-0230	1513.822	55.641	212.000	184.500	54.881	36.315	1	3	2
51	0208-0248	2104.142	75.948	221.500	235.000	40.192	43.145	2	2	0
52	0235-0276	2931.592	90.508	237.500	255.000	29.823	45.716	0	1	1
53	0273-0292	1382.751	56.906	264.500	274.000	12.693	33.443	2	3	1
54	0145-0280	3268.775	78.383	265.500	182.500	55.397	54.317	0	5	5
55	0112-0238	1867.014	64.727	217.500	138.000	45.939	42.122	0	1	1
56	0058-0274	1498.814	55.242	266.500	31.000	95.194	39.706	1	2	1
57	0286-0119	1910.037	62.567	94.000	304.500	34.579	44.510	1	1	0
