 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Central Nuclei	Total Myonuclei	Perinuclei
1	0001-0006	437.738	28.512	149	2	142.125	20.005	1	1	0
2	0002-0013	869.222	46.110	92	6	130.601	30.008	1	1	0
3	0003-0012	306.416	24.755	292	9	135.000	17.505	0	0	0
4	0004-0019	1532.082	52.036	225	13	144.782	40.011	1	1	0
5	0005-0020	831.702	41.014	280	14	127.569	27.507	1	1	0
6	0006-0023	1825.991	67.565	484	15	141.009	40.260	1	1	0
7	0007-0027	1832.245	62.116	159	16	139.899	50.014	2	2	0
8	0008-0028	956.769	44.242	248	23	137.291	32.509	0	0	0
9	0009-0025	306.416	24.755	114	22	135.000	17.505	0	0	0
10	0010-0028	662.860	39.062	93	23	140.194	25.007	0	0	0
11	0011-0036	1838.498	59.018	69	46	53.616	45.012	1	1	0
12	0012-0045	4020.933	93.634	108	31	145.886	65.425	3	3	0
13	0013-0036	631.593	37.175	183	31	132.274	25.007	1	1	0
14	0014-0044	2451.331	88.483	222	32	137.291	42.937	1	2	1
15	0015-0039	794.181	41.620	470	43	32.735	25.007	0	0	0
16	0016-0041	1219.412	57.079	491	35	151.189	29.425	0	0	0
17	0017-0054	3451.874	85.060	24	52	155.695	60.664	1	2	1
18	0018-0052	1038.064	51.553	171	44	129.094	30.060	1	1	0
19	0019-0059	2951.602	85.536	484	46	127.875	53.869	4	4	0
20	0020-0056	1769.711	56.694	460	64	41.424	45.012	0	0	0
21	0021-0055	1331.973	50.014	97	50	143.130	37.510	1	1	0
22	0022-0057	1181.892	55.072	145	49	129.472	31.828	1	1	0
23	0024-0068	2545.132	84.876	219	56	135.000	51.115	1	1	0
24	0025-0063	494.018	31.828	190	59	135.000	22.506	1	1	0
25	0026-0066	1006.797	45.082	134	63	146.310	32.509	1	1	0
26	0027-0073	2345.023	73.844	18	65	151.699	45.012	3	3	0
27	0028-0071	769.168	42.438	479	65	135.000	30.008	1	1	0
28	0029-0071	775.421	37.510	114	67	143.130	27.507	0	0	0
29	0030-0073	950.516	48.036	98	67	141.340	30.008	1	2	1
30	0031-0088	2326.263	73.886	52	75	113.962	45.012	2	2	0
31	0032-0080	750.407	39.062	190	75	140.194	27.507	2	2	0
32	0033-0085	1131.864	48.554	250	77	124.509	32.509	1	1	0
33	0034-0082	812.941	39.539	440	78	145.305	25.007	0	0	0
34	0035-0089	1632.136	57.570	478	81	145.620	40.011	1	1	0
35	0036-0094	1644.643	66.067	69	105	60.524	37.510	2	2	0
36	0037-0090	1519.575	58.593	123	84	140.194	40.059	1	1	0
37	0038-0092	1663.403	63.755	99	84	138.180	38.815	2	2	0
38	0039-0090	963.023	43.023	147	97	54.462	30.008	1	1	0
39	0040-0089	850.462	41.620	223	84	147.265	27.507	0	0	0
40	0041-0096	1988.580	63.902	460	86	120.579	43.343	1	1	0
41	0042-0098	2870.308	80.061	17	86	128.660	50.058	1	1	0
42	0043-0094	1407.014	58.379	207	86	133.264	35.365	0	0	0
43	0044-0094	781.674	40.708	500	100	47.490	27.507	0	1	1
44	0045-0093	437.738	30.112	188	89	138.366	20.005	1	1	0
45	0046-0101	1775.964	55.524	382	111	54.162	42.512	0	0	0
46	0047-0099	306.416	24.755	87	96	135.000	17.505	0	0	0
47	0048-0105	437.738	30.112	176	101	131.634	20.005	1	1	0
48	0049-0108	1056.824	48.036	200	101	128.660	32.509	1	1	0
49	0050-0113	1844.752	64.873	477	102	117.553	37.510	1	1	0
50	0051-0117	2720.227	79.473	125	132	65.854	55.340	3	3	0
51	0052-0109	625.339	36.065	166	103	123.690	22.506	0	0	0
52	0053-0111	800.435	39.062	215	106	129.806	27.507	1	1	0
53	0054-0114	1213.159	53.165	41	121	41.186	32.415	1	1	0
54	0055-0113	812.941	42.512	503	121	61.928	22.506	0	0	0
55	0056-0117	1025.557	49.511	88	110	135.000	33.597	0	1	1
56	0057-0119	669.113	38.171	492	113	121.608	22.506	1	1	0
57	0058-0121	487.765	30.112	194	117	131.634	22.506	1	1	0
58	0059-0125	887.982	44.523	51	132	51.843	30.008	1	2	1
59	0060-0127	1356.987	54.901	67	118	120.069	35.010	1	1	0
60	0061-0123	662.860	37.175	149	118	132.274	25.007	1	1	0
61	0062-0125	750.407	39.062	177	119	129.806	27.507	0	1	1
62	0063-0126	1050.570	44.242	205	119	132.709	32.509	3	3	0
63	0064-0134	2294.996	84.950	163	122	137.386	45.534	1	1	0
64	0065-0128	737.901	41.014	261	123	142.431	25.007	0	0	0
65	0066-0131	894.235	45.906	468	126	150.642	27.395	1	1	0
66	0067-0135	769.168	38.171	83	131	148.392	25.007	0	0	0
67	0068-0137	1113.104	44.523	497	131	128.157	35.010	1	1	0
68	0069-0148	2595.159	76.342	144	134	121.608	45.012	2	2	0
69	0070-0148	2388.797	74.351	33	139	132.274	47.743	0	1	1
70	0071-0139	306.416	24.755	132	136	135.000	17.505	0	0	0
71	0072-0145	1638.389	56.196	208	142	147.724	42.512	0	1	1
72	0073-0144	1069.331	43.744	485	152	59.036	32.509	1	1	0
73	0075-0149	1113.104	49.321	69	141	120.466	32.258	0	0	0
74	0076-0149	731.647	41.014	95	144	142.431	25.007	0	0	0
75	0077-0148	437.738	30.112	245	144	138.366	20.005	0	0	0
76	0078-0150	650.353	35.541	162	145	140.711	25.007	0	0	0
77	0079-0161	1031.810	44.242	92	155	132.709	32.509	0	0	0
