 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Central Nuclei	Total Myonuclei	Perinuclei
1	0001-0009	1338.227	50.635	428	16	32.905	37.510	2	2	0
2	0002-0016	1563.349	50.014	33	8	126.870	40.011	1	2	1
3	0003-0018	2119.901	69.165	7	28	40.601	45.509	1	1	0
4	0004-0015	1169.385	51.553	88	9	140.906	32.509	1	1	0
5	0005-0016	825.448	37.510	118	10	126.870	30.008	0	0	0
6	0006-0021	1951.059	57.079	68	31	61.189	45.012	2	2	0
7	0007-0019	1757.204	60.483	373	24	29.745	40.011	2	2	0
8	0008-0021	1050.570	48.554	49	13	124.509	30.008	1	1	0
9	0009-0021	1350.733	51.553	399	27	39.094	38.862	1	1	0
10	0010-0019	862.969	43.744	191	14	149.036	25.007	1	1	0
11	0011-0021	687.873	37.510	224	27	53.130	25.007	1	1	0
12	0012-0021	387.710	28.292	164	25	45.000	20.005	1	1	0
13	0013-0022	712.887	37.175	459	28	42.274	27.507	1	1	0
14	0014-0022	387.710	28.292	133	26	45.000	20.005	0	1	1
15	0015-0026	1106.851	47.183	177	19	122.005	30.008	1	1	0
16	0016-0026	862.969	41.014	419	32	37.569	30.008	0	0	0
17	0017-0038	4252.309	90.613	130	33	152.021	70.019	2	2	0
18	0018-0033	1169.385	53.047	191	41	45.000	36.759	1	1	0
19	0019-0031	912.996	41.620	439	36	32.735	27.507	0	0	0
20	0020-0032	694.127	35.541	43	27	129.289	27.507	1	2	1
21	0021-0032	681.620	41.014	486	37	37.569	25.007	1	2	1
22	0022-0038	1932.299	59.650	19	28	123.024	45.012	2	2	0
23	0023-0042	2495.105	76.342	86	29	121.608	47.521	2	3	1
24	0024-0041	1238.172	55.524	212	50	54.162	32.509	0	0	0
25	0025-0036	525.285	32.024	366	33	141.340	22.506	0	1	1
26	0026-0039	1169.385	50.325	383	34	153.435	30.008	0	0	0
27	0027-0040	475.258	32.024	167	35	128.660	20.005	1	1	0
28	0028-0044	825.448	40.708	230	49	42.510	30.008	1	1	0
29	0029-0046	719.140	39.062	429	51	39.806	25.007	1	1	0
30	0030-0049	1081.837	46.515	38	55	36.254	30.008	1	3	2
31	0031-0050	925.502	40.322	116	43	119.745	30.008	0	0	0
32	0032-0049	894.235	43.023	270	45	144.462	27.507	0	0	0
33	0033-0049	387.710	28.292	190	45	135.000	20.005	1	1	0
34	0034-0056	2019.847	66.020	68	46	127.304	43.695	1	1	0
35	0035-0052	675.367	39.062	449	58	50.194	25.007	0	1	1
36	0036-0054	487.765	30.525	178	49	124.992	20.005	0	0	0
37	0037-0055	612.833	35.541	374	61	50.711	25.007	0	0	0
38	0038-0057	581.566	35.541	4	63	50.711	22.506	0	0	0
