 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Central Nuclei	Total Myonuclei	Perinuclei
1	0001-0022	2595.409	89.075	111	7	155.450	42.802	2	2	0
2	0004-0066	3935.136	101.561	104	20	117.575	53.866	2	2	0
3	0006-0072	2795.518	88.754	135	39	129.971	47.601	2	2	0
4	0007-0063	828.450	55.169	394	44	135.000	24.278	1	1	0
5	0008-0085	1116.606	51.122	468	63	120.579	31.221	3	3	0
6	0009-0111	2874.561	87.345	259	73	119.501	49.093	2	2	0
7	0010-0101	1985.078	59.958	386	119	27.848	46.334	1	1	0
8	0011-0109	1036.563	54.246	354	134	67.218	28.295	1	2	1
9	0012-0137	3578.943	97.827	424	184	73.974	48.199	0	0	0
10	0013-0127	1173.637	48.117	156	107	136.685	37.010	1	1	0
11	0014-0136	1635.888	65.233	108	110	125.640	39.539	2	2	0
12	0017-0142	1411.766	48.283	374	125	129.958	37.717	1	1	0
13	0018-0175	4048.198	95.828	344	134	126.511	62.716	0	0	0
14	0019-0168	2033.104	73.266	54	137	122.171	41.644	2	2	0
15	0020-0171	1466.796	64.220	194	142	127.405	32.988	2	2	0
16	0021-0164	956.519	47.023	273	145	128.089	31.193	2	2	0
17	0022-0165	1237.672	50.173	453	185	23.499	39.612	2	2	0
18	0023-0182	2473.343	77.435	160	148	118.551	45.883	3	3	0
19	0024-0174	747.406	52.407	312	150	113.629	19.757	2	2	0
20	0025-0178	1188.645	51.908	225	161	154.916	34.510	1	2	1
21	0027-0221	2181.184	75.233	102	187	125.803	41.783	2	2	0
22	0028-0236	3406.850	115.997	416	187	122.320	43.590	2	2	0
23	0029-0213	1304.708	58.710	201	225	23.070	31.084	1	1	0
24	0030-0214	553.300	35.237	69	200	124.592	23.766	0	0	0
25	0032-0220	957.520	42.213	318	204	126.327	32.009	2	2	0
26	0033-0251	2491.353	94.667	260	206	105.945	35.208	3	5	2
27	0035-0254	1548.841	87.488	396	217	120.964	24.807	2	2	0
28	0036-0251	1870.015	61.604	305	225	122.400	49.013	1	1	0
29	0037-0253	641.348	36.902	88	241	147.171	24.007	1	1	0
30	0038-0270	1609.874	63.578	127	264	167.276	38.228	1	2	1
31	0041-0304	970.527	53.278	447	288	140.332	28.428	0	0	0
32	0042-0318	2099.140	60.844	195	304	170.538	53.014	1	4	3
33	0043-0326	3309.797	76.421	378	298	127.020	61.546	2	2	0
34	0044-0319	1334.725	61.311	347	294	123.690	30.643	2	3	1
35	0045-0329	2066.122	70.197	262	305	130.956	43.660	2	2	0
36	0046-0337	1890.026	79.426	442	313	143.707	31.985	0	1	1
37	0047-0343	1246.677	56.628	189	316	107.475	35.375	2	2	0
38	0048-0363	1648.895	62.643	243	337	128.517	37.487	2	2	0
39	0050-0369	1660.902	54.098	436	392	33.690	44.227	3	3	0
40	0051-0365	1078.586	43.428	350	357	165.324	35.010	1	2	1
41	0052-0376	778.423	40.828	290	389	30.964	31.008	1	1	0
42	0053-0380	516.280	37.453	405	365	124.114	20.577	0	0	0
43	0054-0401	3394.843	80.303	71	387	166.310	54.901	3	4	1
44	0055-0388	870.473	58.205	205	382	160.942	31.255	2	2	0
45	0056-0380	328.178	25.087	228	375	156.501	17.005	1	1	0
46	0057-0384	572.311	31.789	327	377	155.854	24.007	1	1	0
47	0058-0390	875.475	46.970	374	383	153.435	27.276	1	1	0
48	0059-0418	1938.052	72.490	303	399	140.599	40.930	2	2	0
49	0060-0423	2260.227	68.982	351	394	119.539	50.390	1	1	0
50	0061-0408	813.442	41.412	35	420	37.147	29.962	1	1	0
51	0062-0419	2119.150	68.619	140	435	30.677	46.938	3	3	0
52	0063-0421	773.420	39.406	216	403	113.962	27.007	1	1	0
53	0064-0424	830.451	39.835	240	439	51.116	29.707	2	2	0
54	0065-0430	790.429	37.373	63	423	164.476	31.696	1	1	0
55	0066-0449	1565.850	58.616	457	425	126.674	35.787	0	1	1
56	0067-0451	1087.590	50.303	437	427	107.354	32.200	0	0	0
57	0068-0443	427.232	31.631	282	430	124.695	20.884	1	1	0
58	0071-0451	685.372	35.351	304	459	25.115	27.007	1	1	0
59	0072-0460	1436.780	57.470	126	479	31.477	38.194	1	1	0
60	0073-0465	1005.546	40.815	333	459	162.897	33.361	1	1	0
61	0264-0205	1051.571	47.023	195	286.500	60.709	32.009	1	2	1
62	0226-0171	1576.856	61.734	150.500	201.500	130.400	38.877	1	5	4
63	0280-0226	1206.655	60.764	196.500	298	8.997	33.809	1	6	5
64	0244-0242	910.494	48.967	232	224	124.177	29.741	1	2	1
65	0124-0223	862.468	51.749	199.500	135	23.344	21.458	2	4	2
66	0144-0240	1417.770	58.257	212.500	142.500	164.055	34.820	1	3	2
67	0468-0181	271.147	24.142	181.500	456	103.173	16.935	1	1	0
68	0477-0100	351.191	29.034	88.500	466	137.793	17.588	1	2	1
69	0486-0071	901.489	42.863	50.500	482.500	168.559	26.892	1	2	1
70	0446-0092	284.154	28.208	81.500	452	37.073	15.931	0	2	2
71	0452-0116	1044.567	46.343	96	459.500	29.055	33.850	1	4	3
72	0463-0082	195.106	21.714	71.500	464	7.943	13.443	0	1	1
73	0338-0166	1472.800	51.239	145.500	352.500	38.660	40.511	1	1	0
74	0300-0169	1028.558	56.322	141.500	295	170.287	27.298	1	2	1
75	0342-0331	1567.851	49.503	326.500	319	108.252	41.947	1	5	4
76	0304-0317	1862.011	58.689	292.500	284	147.529	50.238	2	4	2
