 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Central Nuclei	Total Myonuclei	Perinuclei
1	0001-0032	466.253	36.245	238	48	62.021	18.680	1	2	1
2	0003-0076	3074.669	97.541	171	125	84.114	45.660	0	1	1
3	0004-0060	859.467	46.499	396	82	71.175	24.009	3	3	0
4	0005-0065	980.532	49.258	359	87	60.832	28.436	2	2	0
5	0006-0063	389.211	28.800	241	77	69.677	19.005	1	3	2
6	0007-0085	2034.104	71.139	196	117	62.354	39.519	2	11	9
7	0008-0091	1762.957	64.368	245	112	45.630	43.615	1	3	2
8	0009-0108	1574.855	59.699	348	119	31.293	42.011	1	1	0
9	0011-0152	2857.551	82.102	110	190	67.810	48.827	2	3	1
10	0012-0144	2003.087	68.677	187	142	12.619	43.638	1	1	0
11	0013-0145	694.377	44.789	297	132	156.297	23.326	0	0	0
12	0014-0182	4912.667	94.920	125	193	172.126	76.692	3	3	0
13	0015-0185	3720.020	91.025	235	228	67.380	60.265	3	4	1
14	0016-0172	573.311	34.795	293	156	108.435	22.006	1	1	0
15	0017-0170	399.217	27.594	323	179	43.531	22.006	1	1	0
16	0018-0174	393.213	25.949	375	163	117.553	21.836	1	1	0
17	0019-0188	660.359	36.902	395	205	57.171	24.270	0	0	0
18	0020-0194	467.254	33.311	415	206	41.348	21.893	0	1	1
19	0021-0194	358.194	29.707	365	184	135.000	20.235	2	2	0
20	0022-0205	673.366	45.234	315	187	125.096	25.930	2	2	0
21	0023-0207	417.227	29.555	303	193	113.962	18.927	1	1	0
22	0024-0223	1606.872	65.752	255	251	56.793	35.816	1	5	4
23	0025-0229	2998.628	71.860	419	211	141.216	60.427	2	2	0
24	0026-0237	2648.438	77.719	60	251	31.849	48.002	4	5	1
25	0027-0248	4607.501	102.106	137	278	34.624	71.492	5	9	4
26	0028-0245	2139.161	60.819	363	220	126.304	46.012	1	1	0
27	0029-0238	415.225	31.631	294	251	55.305	19.000	1	1	0
28	0030-0243	686.373	43.944	307	260	48.691	22.129	0	0	0
29	0031-0252	990.538	44.284	411	231	108.435	30.008	1	1	0
30	0032-0266	2466.339	69.589	212	299	71.565	51.906	3	4	1
31	0033-0255	822.447	49.207	329	277	63.435	25.354	1	1	0
32	0034-0283	3338.813	84.195	6	293	13.046	51.879	2	2	0
33	0036-0278	857.466	45.012	92	288	36.870	27.288	1	1	0
34	0037-0287	1580.858	52.901	441	262	105.350	40.503	1	1	0
