 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Central Nuclei	Total Myonuclei	Perinuclei
1	0003-0041	1303.708	61.017	399	71	79.611	29.008	1	2	1
2	0004-0027	132.072	19.422	460	35	55.491	9.841	3	0	-3
3	0005-0092	2286.241	114.966	424	144	63.658	30.552	0	0	0
4	0006-0055	280.152	24.420	214	66	55.008	16.004	1	1	0
5	0008-0069	767.417	44.610	38	59	160.346	23.006	1	1	0
6	0009-0071	333.181	30.814	21	59	125.754	14.981	0	0	0
7	0010-0104	1510.820	80.545	405	143	75.619	29.159	1	4	3
8	0011-0120	1712.930	78.939	385	159	81.254	31.008	2	4	2
9	0014-0136	1159.630	63.176	243	108	113.318	23.608	0	0	0
10	0015-0120	333.181	27.864	328	107	111.038	15.004	0	0	0
11	0017-0171	5269.861	114.757	208	226	75.358	60.016	2	3	1
12	0019-0153	1854.007	71.083	346	119	103.841	34.176	1	3	2
13	0021-0165	827.449	39.835	57	150	141.116	30.568	0	1	1
14	0022-0152	49.027	9.902	92	149	135.000	7.002	1	1	0
15	0023-0168	610.331	37.132	148	175	27.255	22.458	0	1	1
16	0024-0192	2001.086	68.677	108	226	77.381	42.330	2	2	0
17	0026-0196	2766.502	73.375	8	163	117.613	55.552	1	1	0
18	0027-0202	2398.302	72.635	268	168	112.681	46.970	1	1	0
19	0028-0180	429.233	31.899	382	192	48.814	23.006	0	2	2
20	0029-0227	5580.029	106.312	139	177	109.799	73.020	3	3	0
21	0031-0257	5330.894	125.194	397	195	97.806	65.461	1	2	1
22	0032-0232	1100.598	43.921	312	251	59.931	35.010	0	3	3
23	0034-0264	3287.785	82.642	199	295	51.882	59.367	1	2	1
24	0035-0255	947.514	48.345	112	233	114.444	29.077	1	2	1
25	0036-0251	377.205	31.409	7	259	37.235	17.200	0	0	0
26	0038-0261	922.501	44.834	271	278	51.340	30.866	1	1	0
27	0039-0300	2626.426	94.667	282	346	74.055	42.262	1	2	1
28	0041-0272	385.209	31.153	21	264	137.603	19.503	1	1	0
29	0042-0294	1618.879	69.661	445	261	105.832	32.914	0	1	1
30	0043-0277	299.162	23.776	6	266	112.249	16.004	0	0	0
31	0044-0308	1836.997	79.928	256	269	98.637	33.426	0	1	1
32	0045-0304	2079.129	65.018	115	330	59.490	47.013	1	1	0
33	0046-0302	1148.624	57.287	337	330	77.905	30.008	0	0	0
34	0047-0296	852.463	39.571	171	315	69.274	30.008	0	0	0
35	0050-0355	4905.663	112.191	194	303	111.991	61.211	2	3	1
36	0051-0353	3063.663	98.759	421	402	83.019	42.059	2	3	1
37	0052-0370	4243.304	122.675	314	310	99.386	49.013	0	1	1
38	0053-0341	821.446	50.491	131	362	56.310	25.207	1	1	0
39	0054-0382	5605.043	122.834	167	443	83.454	69.252	0	1	1
40	0055-0412	4327.349	115.725	254	468	75.483	52.159	2	2	0
41	0056-0453	1807.982	100.988	294	405	106.101	29.733	1	1	0
42	0058-0453	1557.846	67.138	215	423	114.656	32.983	1	1	0
43	0059-0445	242.131	27.521	192	458	70.907	12.003	1	1	0
44	0060-0457	882.479	54.659	316	435	124.563	23.258	1	1	0
45	0061-0460	527.286	38.908	283	442	107.969	19.005	1	1	0
46	0127-0156	3280.781	82.444	137.500	165.500	60.169	53.650	3	6	3
47	0068-0149	295.160	31.714	140	81	52.046	12.679	2	0	-2
48	0074-0168	613.333	31.962	162	89	69.864	25.346	1	2	1
49	0086-0200	1413.768	49.258	182.500	66	119.168	38.662	2	6	4
50	0161-0192	156.085	17.464	189.750	169.750	60.866	11.812	2	2	0
51	0126-0208	43.023	11.560	203.750	130	38.853	5.965	1	1	0
52	0443-0095	1439.782	58.710	73.500	419	134.310	33.010	1	1	0
53	0394-0096	1324.719	57.506	72.750	378.250	145.273	34.862	1	1	0
54	0362-0110	1349.733	50.979	109.667	387.667	80.969	36.401	1	2	1
55	0326-0083	2817.530	89.400	76.667	369.333	77.726	50.587	2	3	1
56	0236-0071	4280.324	99.486	59.333	284.333	74.846	65.496	3	4	1
57	0120-0117	1797.976	70.213	109	153	68.552	37.749	0	0	0
58	0047-0113	2840.542	79.142	107.333	8.667	106.144	48.522	2	2	0
59	0117-0068	2878.563	82.874	43	83	124.841	47.027	1	1	0
60	0122-0294	3368.829	79.043	289.333	161.333	80.776	60.515	2	3	1
61	0174-0317	2877.562	79.867	314.333	213.333	80.144	54.692	2	5	3
62	0245-0339	253.137	20.578	335	254.333	63.020	16.655	1	1	0
63	0260-0339	194.105	22.968	330	267.667	39.699	13.572	1	1	0
64	0203-0357	1238.672	58.540	342	227	55.676	34.150	0	7	7
65	0171-0434	1429.776	63.074	435.667	202.667	83.626	35.523	0	2	2
66	0229-0425	2040.108	89.004	413.667	185	102.110	30.995	2	5	3
67	0421-0448	1285.698	69.693	445.667	387	97.975	28.929	1	1	0
68	0441-0376	5174.809	129.172	348	380.667	110.868	55.960	2	2	0
69	0054-0433	247.134	27.163	422.333	44	138.483	14.054	0	0	0
70	0383-0474	2410.309	79.201	465.667	344	102.398	45.372	1	2	1
