 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Central Nuclei	Total Myonuclei	Perinuclei
1	0001-0047	1375.747	88.590	463	3	96.483	19.541	7	17	10
2	0002-0088	5411.938	166.722	439	5	95.163	55.015	3	7	4
3	0003-0122	3381.836	110.579	37	177	84.289	44.726	13	28	15
4	0004-0124	4933.679	126.608	201	181	64.245	67.934	5	6	1
5	0005-0137	1486.807	75.790	155	102	112.504	31.739	11	23	12
6	0006-0175	7197.908	133.232	77	240	77.425	83.023	5	9	4
7	0007-0160	606.329	55.486	233	183	56.023	16.889	1	4	3
8	0008-0207	4432.406	119.740	379	148	96.234	60.853	50	70	20
9	0009-0168	233.127	22.029	256	175	39.472	17.005	0	0	0
10	0010-0200	1676.910	63.657	426	169	98.130	43.556	2	4	2
11	0012-0203	775.421	51.908	292	180	115.084	21.436	6	7	1
12	0013-0237	2873.560	115.444	117	288	62.103	42.637	0	2	2
13	0014-0231	2794.517	94.963	188	275	66.405	49.013	6	9	3
14	0017-0266	2300.249	81.637	413	226	97.038	37.010	38	43	5
15	0018-0270	1272.691	55.332	96	297	77.471	32.009	22	27	5
16	0020-0307	2939.596	104.384	40	357	71.565	47.925	5	5	0
17	0021-0314	3621.966	92.680	207	270	108.239	60.016	24	33	9
18	0022-0309	1980.075	80.520	142	345	63.435	37.895	1	8	7
19	0023-0309	1408.765	65.018	117	337	59.490	37.258	11	19	8
20	0024-0304	677.368	41.797	294	285	111.038	25.242	7	17	10
21	0025-0420	1174.638	59.379	428	395	122.619	33.263	1	3	2
22	0152-0317	5390.927	118.464	281	102	123.288	64.422	1	6	5
23	0248-0351	2786.513	83.957	329	209	105.195	45.181	0	0	0
24	0293-0329	2154.170	80.178	317	253	93.576	40.088	30	44	14
25	0313-0379	2126.154	72.297	376	279	104.421	41.494	20	30	10
26	0391-0349	5731.111	136.169	352	323	92.526	59.427	0	1	1
27	0416-0398	3772.048	107.700	386	470	83.601	49.780	2	5	3
28	0327-0407	495.269	57.287	401	299	102.095	12.003	6	5	-1
29	0372-0281	5169.807	129.804	260	313	114.590	65.060	2	4	2
30	0409-0253	4586.490	99.486	232	361	105.154	69.019	4	4	0
31	0246-0273	6312.427	128.759	248	183	99.389	73.309	3	3	0
32	0110-0362	3553.929	87.990	331	75	130.389	62.164	83	85	2
33	0330-0464	4196.278	84.835	435	368	37.816	73.125	2	3	1
34	0469-0442	2085.132	71.713	421	438	120.141	42.944	6	11	5
35	0249-0453	1289.700	64.640	439	279	68.199	31.278	1	3	2
36	0274-0471	1497.813	62.411	471	245	111.631	42.756	6	15	9
37	0393-0091	4166.262	132.837	49	447	52.958	40.547	10	16	6
38	0393-0091	4166.262	132.837	49	447	52.958	40.547	10	16	6
39	0406-0171	8577.657	138.890	162	475	78.366	87.761	3	8	5
40	0360-0080	2380.292	100.730	50	403	57.572	33.688	33	46	13
41	0231-0046	4054.201	137.008	29	297	73.020	47.303	5	10	5
