 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Perinuclei
1	Fiber Borders:0001-0023	138.556	17.288	121	44	56.004	11.784	NaN
2	Fiber Borders:0002-0023	90.556	17.205	155	2	125.538	8.754	NaN
3	Fiber Borders:0003-0009	13.778	5.375	479	16	60.255	3.333	NaN
4	Fiber Borders:0004-0016	29.000	7.311	76	26	65.772	5.333	NaN
5	Fiber Borders:0005-0024	59.444	11.180	326	39	63.435	7.569	NaN
6	Fiber Borders:0006-0020	13.222	5.735	209	25	35.538	3.315	NaN
7	Fiber Borders:0007-0063	358.333	34.801	188	45	143.569	25.297	NaN
8	Fiber Borders:0009-0031	53.556	11.353	43	18	130.236	7.267	NaN
9	Fiber Borders:0010-0028	30.111	8.069	188	19	128.290	5.801	NaN
10	Fiber Borders:0011-0036	55.556	10.290	448	22	114.905	7.333	NaN
11	Fiber Borders:0012-0029	13.444	5.375	468	22	119.745	3.000	NaN
12	Fiber Borders:0013-0031	27.111	7.491	483	24	147.724	5.150	NaN
13	Fiber Borders:0014-0032	23.556	6.839	423	26	136.975	5.000	NaN
14	Fiber Borders:0015-0035	42.889	8.062	348	46	60.255	7.000	NaN
15	Fiber Borders:0016-0032	13.778	5.548	408	28	147.265	3.333	NaN
16	Fiber Borders:0017-0048	40.667	11.035	73	33	115.017	5.068	NaN
17	Fiber Borders:0018-0044	39.667	10.355	151	37	146.821	5.893	NaN
18	Fiber Borders:0019-0057	52.778	12.238	485	41	119.358	6.225	NaN
19	Fiber Borders:0020-0057	43.778	9.615	336	45	123.690	6.532	NaN
20	Fiber Borders:0021-0061	84.444	11.662	359	47	120.964	9.667	NaN
21	Fiber Borders:0022-0064	69.111	13.132	134	82	66.038	7.602	NaN
22	Fiber Borders:0023-0060	103.778	15.624	391	59	11.070	9.578	NaN
23	Fiber Borders:0024-0055	19.556	6.403	464	48	128.660	4.333	NaN
24	Fiber Borders:0025-0066	62.000	11.392	109	50	110.556	6.883	NaN
25	Fiber Borders:0026-0056	13.556	5.207	228	50	129.806	3.667	NaN
26	Fiber Borders:0027-0061	39.889	8.807	244	73	60.524	6.333	NaN
27	Fiber Borders:0028-0079	129.667	22.559	439	52	124.160	12.167	NaN
28	Fiber Borders:0030-0082	167.222	18.768	152	109	70.278	11.267	NaN
29	Fiber Borders:0031-0066	10.444	4.738	259	72	50.711	3.000	NaN
30	Fiber Borders:0032-0076	63.333	11.795	305	88	47.291	7.778	NaN
31	Fiber Borders:0033-0080	47.556	9.487	273	94	71.565	6.667	NaN
32	Fiber Borders:0034-0079	34.222	8.233	184	69	121.759	5.333	NaN
33	Fiber Borders:0035-0085	70.000	11.279	382	101	71.030	8.333	NaN
34	Fiber Borders:0036-0087	56.556	9.989	414	101	64.290	8.664	NaN
35	Fiber Borders:0037-0093	97.333	12.512	329	105	41.760	10.724	NaN
36	Fiber Borders:0038-0094	60.778	11.279	73	80	124.160	7.667	NaN
37	Fiber Borders:0039-0086	15.444	5.897	96	80	132.709	4.000	NaN
38	Fiber Borders:0041-0092	16.333	6.009	128	85	123.690	3.667	NaN
39	Fiber Borders:0042-0096	35.333	9.690	490	85	130.815	6.080	NaN
40	Fiber Borders:0043-0112	75.444	17.288	439	88	109.134	8.830	NaN
41	Fiber Borders:0044-0097	22.889	6.574	14	94	149.534	4.667	NaN
42	Fiber Borders:0045-0103	44.444	9.690	275	114	49.185	7.333	NaN
43	Fiber Borders:0047-0110	20.000	5.963	421	118	63.435	4.333	NaN
44	Fiber Borders:0048-0115	73.556	12.565	351	120	21.801	8.333	NaN
45	Fiber Borders:0049-0129	89.889	17.641	134	105	112.203	7.597	NaN
46	Fiber Borders:0050-0126	85.889	13.017	42	114	129.806	10.000	NaN
47	Fiber Borders:0051-0136	119.556	19.082	467	109	109.385	9.542	NaN
48	Fiber Borders:0052-0121	19.667	7.753	435	111	115.463	3.250	NaN
49	Fiber Borders:0053-0122	32.667	8.750	244	113	130.365	6.000	NaN
50	Fiber Borders:0054-0119	10.222	4.534	408	114	126.027	3.000	NaN
51	Fiber Borders:0055-0125	13.556	5.000	267	131	53.130	3.667	NaN
52	Fiber Borders:0056-0125	14.000	5.207	277	131	50.194	3.667	NaN
53	Fiber Borders:0057-0128	17.667	6.263	156	120	115.201	3.333	NaN
54	Fiber Borders:0058-0135	26.444	8.969	330	146	48.013	5.324	NaN
55	Fiber Borders:0059-0145	68.556	12.863	356	162	58.782	8.667	NaN
56	Fiber Borders:0060-0142	23.667	8.069	245	133	128.290	4.434	NaN
57	Fiber Borders:0061-0153	24.889	7.032	127	162	58.570	4.667	NaN
58	Fiber Borders:0062-0158	60.444	12.693	188	149	150.068	8.085	NaN
59	Fiber Borders:0063-0157	42.222	9.475	72	146	129.289	7.000	NaN
60	Fiber Borders:0064-0158	52.222	10.203	95	169	38.367	7.667	NaN
61	Fiber Borders:0066-0160	10.333	4.346	496	155	122.471	3.000	NaN
62	Fiber Borders:0067-0170	43.889	9.615	140	182	56.310	5.667	NaN
63	Fiber Borders:0068-0182	83.889	16.128	381	205	71.940	9.145	NaN
64	Fiber Borders:0069-0173	39.889	8.692	358	168	147.529	6.667	NaN
65	Fiber Borders:0070-0171	15.222	5.548	130	164	122.735	3.667	NaN
66	Fiber Borders:0071-0185	29.000	9.911	484	171	109.654	3.667	NaN
67	Fiber Borders:0072-0189	89.222	13.038	186	206	57.529	9.667	NaN
68	Fiber Borders:0073-0196	138.667	17.295	274	173	117.553	11.031	NaN
69	Fiber Borders:0074-0187	41.333	10.160	153	199	48.991	6.287	NaN
70	Fiber Borders:0075-0201	58.000	11.513	132	217	67.891	6.333	NaN
71	Fiber Borders:0077-0211	64.111	10.651	218	196	110.136	8.000	NaN
72	Fiber Borders:0078-0223	112.778	19.723	147	248	59.534	8.875	NaN
73	Fiber Borders:0079-0232	138.889	15.846	188	255	75.379	11.333	NaN
74	Fiber Borders:0080-0221	21.222	6.263	316	213	115.201	4.667	NaN
75	Fiber Borders:0081-0234	31.000	7.803	72	245	70.017	5.000	NaN
76	Fiber Borders:0082-0233	19.556	6.667	291	225	126.870	4.287	NaN
77	Fiber Borders:0083-0283	406.000	47.545	225	229	130.166	21.346	NaN
78	Fiber Borders:0084-0250	63.556	15.691	325	273	77.735	7.293	NaN
79	Fiber Borders:0085-0241	26.889	7.923	477	245	22.249	4.667	NaN
80	Fiber Borders:0086-0243	20.333	6.119	275	248	29.358	4.333	NaN
81	Fiber Borders:0087-0260	66.889	11.743	291	275	55.408	8.556	NaN
82	Fiber Borders:0088-0269	111.333	15.293	163	247	106.460	9.000	NaN
83	Fiber Borders:0089-0257	30.333	7.616	482	252	156.801	5.667	NaN
84	Fiber Borders:0090-0271	68.000	12.548	200	289	73.009	7.333	NaN
85	Fiber Borders:0091-0271	82.556	13.149	268	288	59.534	10.256	NaN
86	Fiber Borders:0092-0272	61.778	11.724	140	289	75.174	6.667	NaN
87	Fiber Borders:0093-0272	15.222	6.009	441	265	123.690	3.333	NaN
88	Fiber Borders:0094-0275	33.889	9.393	480	280	27.474	5.333	NaN
89	Fiber Borders:0095-0277	25.667	7.491	459	272	147.724	5.000	NaN
90	Fiber Borders:0097-0293	37.556	8.433	499	281	108.435	6.000	NaN
91	Fiber Borders:0098-0295	27.222	8.360	139	301	23.499	4.641	NaN
92	Fiber Borders:0099-0294	10.444	4.714	181	299	45.000	3.333	NaN
93	Fiber Borders:0100-0299	23.000	8.062	456	289	119.745	4.000	NaN
94	Fiber Borders:0101-0302	14.778	5.735	471	295	125.538	3.333	NaN
95	Fiber Borders:0102-0326	105.889	15.206	448	306	116.003	10.248	NaN
96	Fiber Borders:0103-0317	30.222	7.601	324	325	37.875	5.888	NaN
97	Fiber Borders:0104-0318	21.667	7.087	349	311	138.814	4.714	NaN
98	Fiber Borders:0105-0321	47.556	10.382	476	332	42.397	7.000	NaN
99	Fiber Borders:0106-0332	84.222	13.780	70	349	57.848	9.667	NaN
100	Fiber Borders:0107-0329	32.222	7.608	373	339	61.189	6.000	NaN
101	Fiber Borders:0108-0332	17.333	6.566	266	328	156.038	3.333	NaN
