 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Perinuclei
1	Fiber Borders:0001-0008	20.000	6.600	108	16	45.000	4.900	NaN
2	Fiber Borders:0002-0008	17.000	6.368	138	15	42.879	4.243	NaN
3	Fiber Borders:0003-0013	40.889	10.467	225	4	142.765	5.618	NaN
4	Fiber Borders:0004-0014	59.889	10.858	263	18	17.879	7.303	NaN
5	Fiber Borders:0005-0011	20.222	6.289	462	19	57.995	4.333	NaN
6	Fiber Borders:0006-0014	12.111	5.088	301	21	58.392	3.000	NaN
7	Fiber Borders:0007-0023	25.778	7.902	64	13	117.646	4.333	NaN
8	Fiber Borders:0008-0021	15.222	5.548	78	28	57.265	3.667	NaN
9	Fiber Borders:0009-0023	26.889	8.062	128	29	29.745	4.333	NaN
10	Fiber Borders:0010-0025	14.333	5.467	45	30	37.569	3.667	NaN
11	Fiber Borders:0011-0029	15.444	5.467	389	23	127.569	3.667	NaN
12	Fiber Borders:0012-0033	24.889	7.180	400	43	68.199	4.667	NaN
13	Fiber Borders:0013-0032	29.000	7.867	101	38	36.384	5.563	NaN
14	Fiber Borders:0014-0032	19.444	6.119	191	40	60.642	4.000	NaN
15	Fiber Borders:0015-0031	11.444	5.088	236	35	31.608	2.667	NaN
16	Fiber Borders:0016-0035	24.222	6.667	497	43	53.130	5.000	NaN
17	Fiber Borders:0019-0043	49.222	10.414	443	32	129.806	7.000	NaN
18	Fiber Borders:0020-0043	51.222	10.541	205	35	145.305	7.333	NaN
19	Fiber Borders:0021-0042	26.444	6.872	312	49	39.094	5.333	NaN
20	Fiber Borders:0022-0044	19.667	8.069	120	54	51.710	4.714	NaN
21	Fiber Borders:0023-0054	92.778	13.149	466	37	120.466	10.435	NaN
22	Fiber Borders:0024-0048	38.444	8.537	234	39	128.660	6.333	NaN
23	Fiber Borders:0025-0049	37.556	9.911	417	38	132.274	5.917	NaN
24	Fiber Borders:0026-0045	14.778	5.426	23	39	132.510	3.667	NaN
25	Fiber Borders:0027-0046	24.556	7.211	86	40	146.310	4.667	NaN
26	Fiber Borders:0028-0045	14.889	5.467	176	52	52.431	4.000	NaN
27	Fiber Borders:0029-0053	13.000	5.207	321	59	39.806	3.667	NaN
28	Fiber Borders:0030-0059	36.333	8.537	134	69	51.340	6.333	NaN
29	Fiber Borders:0031-0059	39.556	9.220	284	70	49.399	6.363	NaN
30	Fiber Borders:0032-0061	10.778	5.000	402	55	126.870	3.000	NaN
31	Fiber Borders:0033-0068	22.000	8.069	414	59	128.290	4.417	NaN
32	Fiber Borders:0034-0072	37.111	7.902	310	67	152.354	6.333	NaN
33	Fiber Borders:0035-0069	11.333	4.534	164	75	53.973	3.333	NaN
34	Fiber Borders:0037-0079	33.111	10.000	264	67	126.870	5.795	NaN
35	Fiber Borders:0038-0086	61.667	12.238	372	102	60.642	6.995	NaN
36	Fiber Borders:0039-0078	17.444	6.009	402	71	123.690	4.000	NaN
37	Fiber Borders:0040-0079	16.667	6.146	241	72	130.601	4.225	NaN
38	Fiber Borders:0041-0086	31.778	9.843	447	73	118.301	5.599	NaN
39	Fiber Borders:0042-0083	17.333	7.157	470	93	62.241	3.526	NaN
40	Fiber Borders:0043-0086	32.667	7.951	177	76	123.024	5.657	NaN
41	Fiber Borders:0044-0092	72.222	12.401	132	103	36.254	8.136	NaN
42	Fiber Borders:0045-0085	10.444	4.346	2	80	122.471	3.000	NaN
43	Fiber Borders:0046-0090	28.333	6.864	118	99	60.945	5.333	NaN
44	Fiber Borders:0047-0093	45.556	9.690	197	83	130.815	6.667	NaN
45	Fiber Borders:0048-0087	21.667	6.872	86	82	157.166	3.667	NaN
46	Fiber Borders:0049-0090	26.556	6.936	286	82	125.218	5.667	NaN
47	Fiber Borders:0050-0089	11.222	5.000	66	95	53.130	3.000	NaN
48	Fiber Borders:0051-0090	14.444	5.270	356	97	55.305	3.667	NaN
49	Fiber Borders:0052-0099	45.111	10.006	219	86	119.982	6.667	NaN
50	Fiber Borders:0053-0093	20.444	5.735	256	86	125.538	4.667	NaN
51	Fiber Borders:0054-0093	10.222	4.738	165	88	129.289	3.000	NaN
52	Fiber Borders:0055-0098	24.444	6.574	394	90	120.466	5.000	NaN
53	Fiber Borders:0056-0101	25.667	7.491	78	92	122.276	4.667	NaN
54	Fiber Borders:0057-0100	19.333	6.200	486	108	53.746	4.333	NaN
55	Fiber Borders:0058-0103	21.111	6.616	331	96	130.914	4.714	NaN
56	Fiber Borders:0059-0109	21.333	6.289	156	117	57.995	4.667	NaN
57	Fiber Borders:0060-0108	15.667	5.426	245	103	132.510	4.000	NaN
58	Fiber Borders:0061-0111	22.333	8.069	274	102	128.290	4.174	NaN
59	Fiber Borders:0062-0109	14.333	5.426	192	103	132.510	4.000	NaN
60	Fiber Borders:0063-0111	19.222	6.472	308	119	55.491	4.333	NaN
61	Fiber Borders:0064-0112	16.333	5.831	366	105	120.964	3.667	NaN
62	Fiber Borders:0065-0114	10.333	4.631	68	108	120.256	2.667	NaN
63	Fiber Borders:0066-0121	37.778	9.262	109	134	59.744	6.333	NaN
64	Fiber Borders:0067-0115	18.444	6.009	383	120	33.690	3.667	NaN
65	Fiber Borders:0068-0118	17.333	5.831	235	126	59.036	4.000	NaN
66	Fiber Borders:0069-0116	11.444	4.738	354	122	50.711	3.333	NaN
67	Fiber Borders:0070-0126	43.444	10.853	138	114	132.510	6.781	NaN
68	Fiber Borders:0071-0119	12.333	4.955	215	114	132.274	3.667	NaN
69	Fiber Borders:0072-0130	50.444	10.435	430	144	63.435	8.333	NaN
70	Fiber Borders:0073-0124	25.000	7.674	82	131	34.380	4.576	NaN
71	Fiber Borders:0074-0127	32.333	8.602	171	117	125.538	5.667	NaN
72	Fiber Borders:0075-0123	16.000	6.146	197	117	139.399	4.000	NaN
73	Fiber Borders:0076-0127	39.222	8.413	316	121	146.310	6.600	NaN
74	Fiber Borders:0077-0127	13.222	5.088	246	134	58.392	3.333	NaN
75	Fiber Borders:0078-0134	40.667	9.718	283	147	59.036	7.130	NaN
76	Fiber Borders:0079-0134	52.333	10.138	376	122	136.332	7.845	NaN
77	Fiber Borders:0080-0135	41.778	9.944	350	124	129.560	7.333	NaN
78	Fiber Borders:0081-0132	13.000	5.270	126	126	124.695	3.333	NaN
79	Fiber Borders:0082-0135	25.556	6.936	68	127	125.218	5.000	NaN
80	Fiber Borders:0083-0136	22.444	6.574	212	142	30.466	4.667	NaN
81	Fiber Borders:0084-0138	32.778	8.069	190	130	141.710	5.582	NaN
82	Fiber Borders:0085-0143	22.667	7.211	446	134	123.690	4.333	NaN
83	Fiber Borders:0086-0146	34.889	7.867	257	138	143.616	6.333	NaN
84	Fiber Borders:0087-0144	27.111	7.557	472	136	131.424	5.421	NaN
85	Fiber Borders:0088-0146	30.000	8.233	105	153	31.759	5.512	NaN
86	Fiber Borders:0089-0143	11.222	4.807	300	137	123.690	3.000	NaN
