 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Perinuclei
1	0001-0066	9161324.786	5398.715	1741	5	132.594	2504.384	NaN
2	0002-0075	9637984.878	5323.408	863	3	119.189	3207.784	NaN
3	0003-0016	272230.440	888.809	1696	29	64.359	440.727	NaN
4	0004-0017	242439.185	968.988	1676	5	124.216	424.149	NaN
5	0005-0092	11527161.407	5403.280	399	176	85.236	3516.776	NaN
6	0006-0065	4435815.253	3685.340	497	9	105.124	1538.462	NaN
7	0007-0067	9201388.889	4700.296	1507	10	128.355	2778.081	NaN
8	0008-0015	50336.949	317.292	225	12	135.000	224.359	NaN
9	0009-0116	13881697.896	6662.967	2300	218	78.906	3410.557	NaN
10	0010-0120	14572033.202	7074.917	1060	19	113.778	3554.775	NaN
11	0011-0033	572197.567	1111.214	1655	18	123.232	846.199	NaN
12	0012-0067	2942143.327	3160.750	2259	18	96.404	1378.205	NaN
13	0013-0034	50336.949	317.292	1334	31	135.000	224.359	NaN
14	0014-0076	3867726.824	3205.128	1192	35	143.130	1755.939	NaN
15	0015-0086	7382067.719	5342.575	1995	42	146.501	2044.568	NaN
16	0016-0062	1352933.925	2266.821	1849	35	133.854	951.875	NaN
17	0017-0091	3352029.915	3173.724	701	50	123.048	1793.848	NaN
18	0018-0091	2625739.645	2413.868	2489	128	79.287	1595.976	NaN
19	0019-0134	12485618.014	6102.971	1706	55	127.532	3228.340	NaN
20	0020-0205	19628328.402	9769.071	251	56	102.121	3621.795	NaN
21	0021-0106	3710552.268	3455.598	1299	71	130.486	1730.588	NaN
22	0022-0098	2456237.673	2743.710	1617	135	52.595	1556.279	NaN
23	0023-0075	265039.448	863.007	2512	64	121.329	502.677	NaN
24	0024-0144	15430843.195	7381.056	1924	70	144.723	2914.764	NaN
25	0025-0073	50336.949	317.292	2525	70	135.000	224.359	NaN
26	0026-0094	1585100.263	2072.457	2543	70	140.648	1132.330	NaN
27	0027-0087	185938.527	604.742	459	95	57.995	416.667	NaN
28	0028-0165	12777366.864	5544.964	776	96	130.781	3087.724	NaN
29	0029-0126	2837360.289	2341.719	1497	157	59.574	1860.928	NaN
30	0030-0108	219838.922	702.939	102	101	136.848	480.769	NaN
31	0031-0127	1554281.723	1920.939	2506	150	25.710	1506.410	NaN
32	0032-0168	7947074.293	4828.800	1248	131	144.728	2410.802	NaN
33	0033-0142	1872739.974	2270.217	1890	113	120.548	1504.381	NaN
34	0034-0116	50336.949	317.292	151	113	135.000	224.359	NaN
35	0035-0138	629725.510	1451.184	91	155	43.210	871.696	NaN
36	0036-0160	2128533.859	2899.711	653	119	113.448	1232.229	NaN
37	0037-0151	1715565.417	1965.609	2454	179	65.943	1398.700	NaN
38	0038-0155	2084360.618	2455.429	686	126	144.028	1521.639	NaN
39	0039-0161	3105481.591	2827.969	1402	124	125.311	1736.406	NaN
40	0040-0178	6476002.630	3904.735	2150	126	131.673	2306.741	NaN
41	0041-0168	3830744.576	2672.585	1659	205	67.433	2137.663	NaN
42	0042-0163	1790557.199	2358.112	491	131	121.097	1268.197	NaN
43	0043-0140	73964.497	385.949	2120	136	131.634	256.410	NaN
44	0044-0158	855728.139	1430.866	128	137	105.593	1197.522	NaN
45	0045-0183	4532380.013	2985.590	1572	140	119.592	2179.487	NaN
