 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Perinuclei
1	0001-0006	100673.899	476.477	1912	1	137.726	320.513	NaN
2	0002-0015	178747.535	588.383	1590	10	150.642	448.718	NaN
3	0003-0033	967702.170	1885.313	1852	58	54.689	963.248	NaN
4	0004-0016	294830.703	947.006	1074	11	156.038	480.769	NaN
5	0005-0029	1162886.259	1641.827	2230	49	51.340	1314.103	NaN
6	0006-0033	1572772.847	1818.186	2489	11	130.711	1564.180	NaN
7	0007-0023	339003.945	962.073	389	36	60.018	678.864	NaN
8	0008-0035	1575854.701	1733.438	1439	61	56.310	1282.051	NaN
9	0009-0017	131492.439	525.680	1903	13	142.431	384.615	NaN
10	0010-0020	106837.607	480.769	1656	26	53.130	288.462	NaN
11	0011-0018	71909.928	365.441	2366	15	142.125	256.410	NaN
12	0012-0020	88346.483	410.457	1534	24	38.660	288.462	NaN
13	0013-0095	9085305.720	4961.741	633	20	105.742	2619.957	NaN
14	0014-0024	50336.949	317.292	1545	21	135.000	224.359	NaN
15	0015-0049	1497781.065	1723.036	1306	72	46.507	1435.166	NaN
16	0016-0053	1379643.327	1937.181	1897	30	128.956	1164.298	NaN
17	0017-0049	1414571.006	1912.363	2346	73	50.440	1106.447	NaN
18	0018-0042	591715.976	1103.793	1530	51	25.821	928.056	NaN
19	0019-0131	12660256.410	6601.708	2446	234	84.428	2762.859	NaN
20	0020-0063	2131615.713	2279.475	792	94	62.354	1624.311	NaN
21	0021-0082	5987015.122	4189.042	264	109	31.866	2021.695	NaN
22	0022-0046	50336.949	317.292	1920	43	135.000	224.359	NaN
23	0023-0047	50336.949	317.292	1088	44	135.000	224.359	NaN
24	0024-0138	9607166.338	5968.513	1224	231	87.230	2541.764	NaN
25	0025-0055	219838.922	705.856	402	48	140.528	509.148	NaN
26	0026-0104	5443581.525	3766.537	1724	140	47.759	2415.312	NaN
27	0027-0094	3641724.195	3443.089	2367	141	61.049	1705.261	NaN
28	0028-0107	4935075.608	3761.078	1401	166	85.601	1823.274	NaN
29	0029-0089	1411489.152	2483.716	2192	126	72.734	1051.758	NaN
30	0030-0078	722181.131	1467.725	1500	99	58.392	740.824	NaN
31	0031-0082	2015532.544	1966.393	109	96	19.026	1474.359	NaN
32	0032-0101	2501438.199	2925.283	351	137	57.529	1431.170	NaN
33	0033-0065	64718.935	362.619	1448	69	45.000	256.410	NaN
34	0034-0069	181829.389	726.653	1086	62	138.576	407.946	NaN
35	0035-0109	3138354.701	3387.140	1311	154	60.524	1828.186	NaN
36	0036-0075	375986.193	1022.632	2233	89	57.804	671.845	NaN
37	0037-0066	80128.205	410.457	2257	62	141.340	256.410	NaN
38	0038-0118	5746630.506	3804.934	1805	168	55.641	2318.138	NaN
39	0039-0115	3711579.553	3272.685	2527	166	81.552	1680.700	NaN
40	0040-0070	50336.949	317.292	238	67	135.000	224.359	NaN
