 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Perinuclei
1	0001-0094	2.097E15	76731867.053	261	89	13.282	48009676.598	NaN
2	0002-0027	2.066E14	25800784.356	812	49	26.565	11999729.548	NaN
3	0003-0010	1.972E13	7202629.825	398	6	147.724	5103550.296	NaN
4	0004-0013	2.537E13	8630071.806	746	16	21.801	4482135.822	NaN
5	0005-0018	2.856E13	7308816.828	710	27	52.125	5769230.769	NaN
6	0006-0035	1.349E14	16446399.501	1010	57	56.929	11538461.538	NaN
7	0007-0048	2.283E14	25659048.153	686	13	115.925	13628481.670	NaN
8	0008-0031	5.434E13	13338879.517	646	48	54.782	6768974.434	NaN
9	0009-0045	2.184E14	20372113.567	1068	15	114.146	16014098.407	NaN
10	0010-0020	6.472E12	3654408.414	383	16	127.875	2243589.744	NaN
11	0011-0026	1.592E13	6933752.453	499	35	56.310	3653581.531	NaN
12	0012-0032	5.383E13	11897891.791	5	43	27.255	8333333.333	NaN
13	0013-0023	7.191E12	3859485.442	1514	27	41.634	2564102.564	NaN
14	0014-0027	2.147E13	6738396.167	49	33	25.346	4487179.487	NaN
15	0015-0025	8.732E12	4104566.819	1940	20	128.660	2884615.385	NaN
16	0016-0063	3.063E14	28097478.133	597	104	69.291	16720157.675	NaN
17	0017-0036	4.089E13	9899644.366	920	39	29.055	8333333.333	NaN
18	0018-0028	5.753E12	3407098.017	739	24	131.186	2243589.744	NaN
19	0019-0059	2.451E14	22504473.951	204	93	72.597	19293590.829	NaN
20	0020-0030	1.202E13	5334396.467	1806	26	147.265	2884615.385	NaN
21	0021-0044	7.972E13	15835409.394	861	58	35.942	7794776.573	NaN
22	0022-0108	1.445E15	50296009.059	103	32	104.390	43329218.648	NaN
23	0023-0046	4.520E13	10581778.217	499	41	144.866	7733800.813	NaN
24	0024-0048	7.797E13	16169228.533	743	65	39.369	8202188.262	NaN
25	0025-0042	2.414E13	7378759.252	1935	52	55.620	5091476.585	NaN
26	0026-0084	3.985E14	35705185.748	1846	34	114.955	25009629.520	NaN
27	0027-0070	1.399E14	23134721.067	2039	35	100.376	13956399.168	NaN
28	0028-0044	1.017E13	4892415.873	148	48	31.608	2564102.564	NaN
29	0029-0146	2.763E15	86195903.196	1168	53	141.340	65706910.533	NaN
30	0030-0076	2.976E14	28018760.738	921	101	35.690	19019359.320	NaN
31	0031-0055	1.109E13	4732315.083	1492	49	118.301	2884615.385	NaN
32	0032-0118	1.742E15	65281624.518	727	160	24.048	43081690.648	NaN
33	0033-0056	6.369E12	3626188.621	1836	60	45.000	2564102.564	NaN
34	0034-0059	5.753E12	3407098.017	1933	56	138.814	2243589.744	NaN
35	0035-0063	5.034E12	3172915.044	730	60	135.000	2243589.744	NaN
36	0036-0071	2.691E13	8271466.603	2166	61	125.538	6215869.004	NaN
37	0037-0092	2.647E14	23247676.674	469	87	164.814	16393243.015	NaN
38	0038-0071	3.205E13	8888092.708	1023	81	25.641	5891142.805	NaN
39	0039-0109	3.444E14	30556489.436	1127	64	105.202	15344323.554	NaN
40	0040-0068	5.034E12	3172915.044	2321	65	135.000	2243589.744	NaN
41	0041-0149	1.247E15	59915326.238	1673	66	116.702	33871896.554	NaN
42	0042-0071	5.034E12	3172915.044	1939	68	135.000	2243589.744	NaN
43	0043-0073	6.472E12	3626188.621	1011	69	135.000	2564102.564	NaN
44	0044-0078	2.414E13	6881702.101	1105	69	117.759	5128205.128	NaN
45	0045-0093	8.732E13	18020118.970	731	115	51.499	8748871.627	NaN
46	0046-0075	5.753E12	3407098.017	915	71	131.186	2243589.744	NaN
47	0047-0124	8.122E14	49055217.516	2195	72	141.633	28565311.633	NaN
48	0048-0090	6.482E13	11359003.299	562	107	73.610	8333333.333	NaN
49	0049-0103	9.030E13	16430776.433	659	79	110.556	9121954.789	NaN
50	0050-0109	3.176E14	25602936.453	980	126	34.287	19488384.177	NaN
51	0051-0084	6.986E12	3859485.442	2136	89	48.366	2564102.564	NaN
52	0052-0087	1.716E13	5606684.514	2297	90	30.964	4166666.667	NaN
53	0053-0098	2.835E13	9769070.932	1849	87	131.009	4248868.226	NaN
54	0054-0114	1.436E14	18392521.456	1075	141	67.457	14791531.911	NaN
55	0055-0100	2.291E13	6410256.410	1068	92	126.870	5128205.128	NaN
56	0056-0139	2.440E14	29252831.305	210	177	57.529	18609686.035	NaN
57	0057-0111	2.239E13	8032028.260	710	122	61.390	4141182.228	NaN
58	0058-0140	2.625E14	24176951.494	449	177	75.411	17206122.942	NaN
59	0059-0117	1.253E13	5892556.510	947	124	45.000	3626188.621	NaN
60	0060-0117	7.910E12	4079462.199	1935	113	135.000	2884615.385	NaN
61	0061-0123	3.205E13	8467849.240	2067	115	150.524	6593533.780	NaN
62	0062-0117	5.034E12	3172915.044	543	114	135.000	2243589.744	NaN
63	0063-0151	4.140E14	29426149.217	565	122	147.002	22754157.247	NaN
64	0064-0194	6.747E14	48635642.350	2171	119	95.673	22865728.615	NaN
65	0065-0127	1.007E13	4764765.624	539	133	47.726	3205128.205	NaN
66	0066-0129	1.161E13	5256801.111	1629	124	142.431	3205128.205	NaN
67	0067-0141	6.657E13	13904494.848	2067	135	154.026	8012820.513	NaN
68	0068-0136	1.161E13	5006570.305	269	130	129.806	3205128.205	NaN
69	0069-0135	8.013E12	3859485.442	528	131	138.366	2884615.385	NaN
70	0070-0167	2.160E14	27211519.586	657	141	133.091	19495833.929	NaN
71	0071-0137	6.472E12	3626188.621	665	133	135.000	2564102.564	NaN
72	0072-0256	2.861E15	96415242.983	838	187	149.428	47338813.713	NaN
