 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Perinuclei
1	I	1926.438	64.174	956	21	132.236	41.659	NaN
2	I	1484.010	69.066	1406	71	27.493	39.386	NaN
3	I	2538.880	73.356	888	130	60.376	48.308	NaN
4	I	482.684	32.037	1030	26	107.021	23.094	NaN
5	I/IIa	767.214	38.386	1085	35	163.926	30.419	NaN
6	IIb	53.936	11.131	1511	46	51.843	7.502	NaN
7	I/IIa	1202.998	60.835	1192	42	129.579	30.337	NaN
8	I	2538.880	68.967	1070	57	98.865	51.889	NaN
9	IIb	38.693	9.378	790	65	143.130	5.627	NaN
10	IIb	127.022	16.024	1331	90	69.444	11.878	NaN
11	I	2663.948	72.479	748	75	124.101	54.805	NaN
12	I	4121.381	128.344	1136	276	86.929	45.012	NaN
13	IIb	217.696	24.732	1342	98	20.726	12.503	NaN
14	IIb	51.591	9.378	1313	80	126.870	6.877	NaN
15	IIb	158.289	20.161	1268	103	29.745	12.814	NaN
16	I	279.840	30.995	964	84	131.730	11.936	NaN
17	IIb	29.704	7.957	831	94	45.000	5.627	NaN
18	IIb	132.494	16.012	1432	91	141.340	13.096	NaN
19	IIx	1637.609	64.623	1383	187	65.418	42.910	NaN
20	I/IIa	185.648	21.557	1849	93	119.539	13.880	NaN
21	I/IIa	4502.057	133.886	1189	94	101.310	47.030	NaN
22	I/IIa	4728.743	140.274	1471	96	93.321	60.330	NaN
23	IIb	27.749	7.528	1302	106	41.634	5.001	NaN
24	I	3321.337	96.386	822	101	136.051	51.898	NaN
25	I	2028.837	58.171	934	190	69.228	45.547	NaN
26	IIb	214.961	26.998	1828	107	132.184	13.678	NaN
27	I	2511.522	69.405	647	117	125.838	53.603	NaN
28	IIb	64.097	11.131	1292	121	51.843	8.752	NaN
29	I	489.719	31.396	1010	162	77.347	23.131	NaN
30	I/IIa	2248.488	70.002	1319	223	72.860	48.138	NaN
31	IIb	171.187	19.055	1870	125	138.991	13.129	NaN
32	I/IIa	1233.483	61.572	1895	132	119.168	34.109	NaN
33	I	2243.016	63.718	586	181	164.055	50.404	NaN
34	I	3887.270	122.132	1731	132	111.311	45.150	NaN
35	I/IIa	3377.618	88.571	1835	145	108.947	50.776	NaN
36	I	1825.211	70.245	1033	152	106.015	37.082	NaN
37	I/IIa	1566.477	56.863	723	209	14.647	39.180	NaN
38	IIb	67.615	11.629	1280	163	126.254	8.127	NaN
39	I	2526.764	73.865	949	195	146.041	47.716	NaN
40	I	2124.202	59.824	500	171	124.354	49.510	NaN
41	I/IIa	906.352	57.383	1094	178	97.512	26.228	NaN
42	I/IIa	189.947	22.384	1280	183	125.910	12.861	NaN
43	I/IIa	45.337	10.348	1363	185	115.017	5.001	NaN
44	I	1366.759	52.696	1573	253	48.366	40.636	NaN
45	I	2256.696	70.876	578	195	120.184	49.153	NaN
46	I	2033.527	67.402	818	198	130.486	46.281	NaN
47	I	4082.688	121.756	1336	388	76.035	47.170	NaN
48	I/IIa	31.267	7.957	1407	217	45.000	5.627	NaN
49	IIx	2054.633	67.914	893	239	158.394	46.279	NaN
50	I/IIa	2730.782	104.096	1283	213	101.782	38.529	NaN
51	I/IIa	2204.714	70.522	650	318	65.934	46.379	NaN
52	IIb	67.615	11.270	1953	230	56.310	8.127	NaN
53	I	2210.968	71.652	715	223	150.751	45.717	NaN
54	I/IIa	44.555	9.378	1340	222	126.870	6.877	NaN
55	I	5856.309	142.907	1887	425	62.090	68.347	NaN
56	IIb	33.612	8.411	1936	243	48.013	5.627	NaN
57	I/IIa	3335.407	104.387	1405	236	108.869	48.763	NaN
58	I/IIa	26.968	7.528	1553	255	41.634	5.001	NaN
59	I	723.049	42.484	1577	255	147.011	23.871	NaN
60	I/IIa	2457.195	85.413	1171	252	98.842	45.137	NaN
61	I/IIa	3008.276	83.333	1508	254	117.719	53.086	NaN
62	I	1802.933	79.731	1562	260	118.575	35.026	NaN
63	I/IIa	1467.204	53.418	1067	266	145.008	38.989	NaN
64	I	537.792	36.758	1030	276	131.553	20.982	NaN
65	IIx	3082.926	74.780	356	370	20.556	64.810	NaN
66	I	1992.099	58.859	551	330	12.265	44.840	NaN
67	I	1376.139	56.297	815	285	119.982	33.206	NaN
68	I/IIa	1161.960	51.069	993	290	129.536	30.817	NaN
69	I	1682.165	56.921	869	286	128.758	37.930	NaN
70	I/IIa	2178.919	68.255	1631	299	151.557	44.840	NaN
71	I	1861.559	71.447	706	315	164.261	35.635	NaN
72	I	2087.463	79.672	929	302	141.691	39.330	NaN
73	I/IIa	3214.638	83.619	1807	426	64.776	52.514	NaN
74	I/IIa	2619.393	79.328	1252	437	83.211	54.390	NaN
75	I/IIa	1937.381	60.422	608	369	28.421	47.554	NaN
76	I/IIa	1083.011	50.111	1113	338	139.554	29.010	NaN
77	I	1763.459	68.129	1054	334	137.231	35.853	NaN
78	I	1638.391	58.743	701	332	106.699	39.539	NaN
79	I	2749.151	76.363	476	342	129.685	51.613	NaN
80	I/IIa	3003.586	87.606	1742	471	72.987	45.465	NaN
81	I/IIa	1330.020	49.436	1981	348	103.158	38.500	NaN
82	I	2222.302	65.836	748	410	22.913	45.608	NaN
83	I	3285.771	88.943	414	368	137.564	46.532	NaN
84	I	2087.072	66.729	879	372	164.792	49.343	NaN
85	IIb	74.650	12.139	860	377	34.509	8.127	NaN
86	I	1666.140	59.994	587	366	123.524	45.974	NaN
87	I/IIa	2116.385	84.073	1678	499	73.586	36.885	NaN
88	I/IIa	1495.344	59.473	1618	461	56.143	39.386	NaN
89	I	1445.317	49.515	854	384	114.624	37.386	NaN
90	I	1566.086	65.321	377	384	129.174	34.708	NaN
91	I	2966.847	75.842	1503	398	150.900	59.159	NaN
92	I	2478.301	92.974	987	397	150.160	40.137	NaN
93	IIb	429.921	35.387	1164	439	57.995	19.430	NaN
94	I/IIa	2159.768	61.270	1354	401	171.787	52.514	NaN
95	IIb	38.693	9.294	1201	392	137.726	6.252	NaN
96	I/IIa	1029.857	44.462	1310	459	62.354	32.585	NaN
97	IIb	233.721	28.690	1143	449	78.690	14.642	NaN
98	IIb	274.368	27.422	1189	434	43.152	15.901	NaN
99	I/IIa	2788.235	79.904	1467	408	110.136	46.007	NaN
100	I/IIa	722.268	48.947	1874	440	24.928	21.325	NaN
101	IIb	141.483	21.872	1955	409	120.964	10.057	NaN
102	I	496.364	31.265	740	415	101.535	21.881	NaN
103	I	1511.759	57.397	654	420	147.002	36.249	NaN
104	I/IIa	1321.422	51.287	972	419	99.118	36.657	NaN
105	I	1778.311	62.078	749	487	34.330	44.982	NaN
106	IIb	76.995	12.330	1999	433	30.466	8.752	NaN
107	I	1424.603	53.055	1786	463	21.425	42.203	NaN
108	I	32.830	8.411	287	430	131.987	5.627	NaN
109	I	3317.038	86.529	1212	433	139.982	61.010	NaN
110	I	2135.536	61.879	555	438	108.252	55.416	NaN
111	I/IIa	1327.284	48.655	1927	508	62.447	41.610	NaN
112	I	2115.603	76.327	836	441	116.775	38.098	NaN
113	I/IIa	2004.215	73.099	906	441	102.848	36.845	NaN
114	I	2000.306	65.216	1611	536	60.732	49.549	NaN
115	IIb	73.868	13.423	1121	449	117.759	7.502	NaN
116	I/IIa	1144.372	50.158	1351	450	112.730	37.554	NaN
117	I/IIa	1352.298	54.762	1434	453	108.642	39.330	NaN
118	IIb	297.036	28.961	1142	503	76.264	14.990	NaN
119	I/IIa	911.824	40.564	1858	479	151.460	33.985	NaN
120	IIa	1876.020	63.142	532	459	101.421	47.021	NaN
121	IIx	1883.837	59.342	603	538	41.583	46.843	NaN
122	IIb	329.867	27.881	1176	501	47.726	16.256	NaN
123	I/IIa	1743.135	69.720	1531	534	39.542	44.291	NaN
124	I/IIa	1422.258	51.104	1004	512	14.886	40.433	NaN
125	IIx	2003.824	69.447	697	573	66.666	39.639	NaN
126	I/IIa	1276.866	53.286	1699	549	58.921	35.018	NaN
127	IIx	2635.026	71.535	389	492	170.949	47.776	NaN
128	IIb	334.166	27.916	1098	511	55.954	20.631	NaN
129	I/IIa	479.948	36.373	1759	474	114.362	19.474	NaN
130	I/IIa	821.931	42.585	1780	478	130.236	29.118	NaN
131	I	2110.913	78.523	749	503	142.765	46.854	NaN
132	I/IIa	2213.313	63.795	1991	597	65.695	50.857	NaN
133	I/IIa	1804.106	74.668	955	624	78.408	38.066	NaN
134	I/IIa	253.263	24.518	1826	529	19.359	15.004	NaN
135	IIb	237.238	37.301	1058	557	50.440	12.419	NaN
136	I/IIa	1675.520	59.651	1135	539	146.976	42.146	NaN
137	IIb	46.900	9.378	1955	513	126.870	6.877	NaN
138	IIb	34.003	8.006	990	515	141.340	5.627	NaN
139	I/IIa	1953.406	79.150	1830	552	13.707	39.434	NaN
140	I/IIa	30.094	7.957	1212	529	45.000	5.627	NaN
141	I/IIa	1188.928	49.087	1290	583	43.452	38.135	NaN
142	I	1248.335	47.004	1487	547	166.149	38.656	NaN
143	I/IIa	1645.426	67.010	1393	529	149.128	38.297	NaN
144	IIx	1666.922	69.194	992	530	124.695	34.025	NaN
145	I/IIa	1874.847	66.729	1747	634	74.792	41.931	NaN
146	I	2026.102	65.717	1595	532	115.346	48.110	NaN
147	I/IIa	1373.794	52.283	1209	539	153.741	39.386	NaN
148	I/IIa	1686.464	59.611	1362	533	99.660	41.886	NaN
149	I	50.809	10.646	1474	547	40.236	6.877	NaN
150	IIx	2119.512	66.551	581	538	115.602	47.484	NaN
151	I	1390.991	52.130	719	615	67.433	37.451	NaN
152	IIx	1794.726	61.537	417	557	159.171	40.011	NaN
153	IIb	32.440	8.411	1675	544	131.987	5.627	NaN
154	I/IIa	38.302	9.785	1452	545	153.435	4.376	NaN
155	I	3079.018	76.771	297	546	127.057	50.843	NaN
156	IIb	410.379	37.614	1087	548	105.422	23.131	NaN
157	I	338.074	36.821	898	549	130.179	16.592	NaN
158	I/IIa	1746.262	66.600	1819	550	122.347	36.312	NaN
159	I	2254.351	77.251	858	557	113.868	43.110	NaN
