"","Color","  Label","     Area","   MinFeret"
"","RED:891  ","I    :183  ","Min.   :  51.59  ","Min.   : 6.252  "
"",NA,"IIa  :486  ","1st Qu.: 690.22  ","1st Qu.:23.862  "
"",NA,"IIb  : 82  ","Median : 945.44  ","Median :29.212  "
"",NA,"I/IIa: 13  ","Mean   : 959.54  ","Mean   :28.629  "
"",NA,"IIx  :127  ","3rd Qu.:1210.03  ","3rd Qu.:34.327  "
"",NA,NA,"Max.   :4044.78  ","Max.   :66.232  "
"","BLACK:1383  ","I    :487  ","Min.   :  26.97  ","Min.   : 4.376  "
"",NA,"IIa  : 76  ","1st Qu.: 529.19  ","1st Qu.:21.177  "
"",NA,"IIb  :131  ","Median :1203.78  ","Median :32.834  "
"",NA,"I/IIa:538  ","Mean   :1216.17  ","Mean   :31.132  "
"",NA,"IIx  :151  ","3rd Qu.:1740.20  ","3rd Qu.:40.438  "
"",NA,NA,"Max.   :5856.31  ","Max.   :83.126  "
